"ATD_SIGNAL_ID","SIGNAL_TYPE","LOCATION_NAME","PRIMARY_ST","CROSS_ST","CONTROL","ATD_LOCATION_ID","COA_INTERSECTION_ID","COUNCIL_DISTRICT","CROSS_ST_AKA","CROSS_ST_SEGMENT_ID","JURISDICTION","LANDMARK","PRIMARY_ST_AKA","PRIMARY_ST_SEGMENT_ID","SIGNAL_ENG_AREA","GEOCODE","GEOCODE: Street 1","GEOCODE: Street 2","GEOCODE: City","GEOCODE: State","GEOCODE: Zip","GEOCODE: Country","GEOCODE: Latitude","GEOCODE: Longitude","MASTER_SIGNAL_ID","SIGNAL_STATUS","IP_SWITCH","IP_CONTROL","SWITCH_COMM"
"11","TRAFFIC","N LAMAR BLVD / W ST JOHNS AVE","N LAMAR BLVD","W ST JOHNS AVE","MASTER","10","5160009","7","","2011643","AUSTIN FULL PURPOSE","","","2011600","NORTH","758-798 West Saint Johns Avenue Austin, Texas 78752","758-798 West Saint Johns Avenue","","Austin","Texas","78752","United States","30.339407","-97.7178421","","TURNED_ON","1","1","Both"
"12","TRAFFIC","W KOENIG LN / GROVER AVE","W KOENIG LN","GROVER AVE","MASTER","11","5158705","7","","2012020","AUSTIN FULL PURPOSE","","","2012021","NORTH","5900-5934 Grover Avenue Austin, Texas 78757","5900-5934 Grover Avenue","","Austin","Texas","78757","United States","30.3298817","-97.7294846","","TURNED_ON","1","1","Both"
"13","TRAFFIC","W KOENIG LN / WOODROW AVE","W KOENIG LN","WOODROW AVE","MASTER","12","5158454","7","","2011980","AUSTIN FULL PURPOSE","","","2011981","NORTH","5867-5899 Woodrow Avenue Austin, Texas 78756","5867-5899 Woodrow Avenue","","Austin","Texas","78756","United States","30.3308716","-97.7315903","","TURNED_ON","1","1","Both"
"14","TRAFFIC","AIRPORT BLVD / GUADALUPE ST","AIRPORT BLVD","GUADALUPE ST","MASTER","13","5160128","4","","2011837","AUSTIN FULL PURPOSE","","","2011840","NORTH","6801 Guadalupe Street Austin, Texas 78752","6801 Guadalupe Street","","Austin","Texas","78752","United States","30.3339596","-97.7169266","","TURNED_ON","0","0","Both"
"15","TRAFFIC","GUADALUPE ST / W NORTH LOOP BLVD","GUADALUPE ST","W NORTH LOOP BLVD","MASTER","14","5159070","9","","2015331","AUSTIN FULL PURPOSE","","","2015283","CENTRAL","5301-5305 Guadalupe Street Austin, Texas 78751","5301-5305 Guadalupe Street","","Austin","Texas","78751","United States","30.319952","-97.7269592","","TURNED_ON","1","1","Both"
"16","TRAFFIC","AIRPORT BLVD / W HIGHLAND MALL BLVD","AIRPORT BLVD","W HIGHLAND MALL BLVD","MASTER","15","5160255","4","","3257754","AUSTIN FULL PURPOSE","","","2012059","NORTH","6419 Airport Boulevard Austin, Texas 78752","6419 Airport Boulevard","","Austin","Texas","78752","United States","30.3288574","-97.7158356","","TURNED_ON","0","0","Both"
"17","TRAFFIC","AIRPORT BLVD / DENSON DR","AIRPORT BLVD","DENSON DR","MASTER","16","5160231","4","","2040420","AUSTIN FULL PURPOSE","","","2012133","NORTH","6200-6398 Airport Boulevard Austin, Texas 78752","6200-6398 Airport Boulevard","","Austin","Texas","78752","United States","30.3270321","-97.7160797","","TURNED_ON","0","0","Both"
"18","TRAFFIC","W MARTIN LUTHER KING JR BLVD / NUECES ST","W MARTIN LUTHER KING JR BLVD","NUECES ST","SLAVE","17","5156697","9","","2017732","AUSTIN FULL PURPOSE","","","2017733","CENTRAL","1900-1902 Nueces Street Austin, Texas 78705","1900-1902 Nueces Street","","Austin","Texas","78705","United States","30.2823811","-97.7441864","","TURNED_ON","1","1","Both"
"19","TRAFFIC","METRIC BLVD / SCOFIELD LN","METRIC BLVD","SCOFIELD LN","MASTER","18","5162936","7","","2006204","AUSTIN FULL PURPOSE","","","3270535","NORTH","1701 Scofield Lane Austin, Texas 78727","1701 Scofield Lane","","Austin","Texas","78727","United States","30.4151459","-97.6883698","","TURNED_ON","1","1","Both"
"20","TRAFFIC","W MARTIN LUTHER KING JR BLVD / RIO GRANDE ST","W MARTIN LUTHER KING JR BLVD","RIO GRANDE ST","MASTER","19","5156606","9","","2017797","AUSTIN FULL PURPOSE","","","2017723","CENTRAL","673-685 West Martin Luther King Junior Boulevard Austin, Texas 78701","673-685 West Martin Luther King Junior Boulevard","","Austin","Texas","78701","United States","30.2825451","-97.7448349","","TURNED_ON","1","1","Both"
"21","TRAFFIC","W MARTIN LUTHER KING JR BLVD / NUECES ST","W MARTIN LUTHER KING JR BLVD","NUECES ST","MASTER","20","5156768","9","","2017821","AUSTIN FULL PURPOSE","","","2017746","CENTRAL","590-598 West Martin Luther King Junior Boulevard Austin, Texas 78701","590-598 West Martin Luther King Junior Boulevard","","Austin","Texas","78701","United States","30.282238","-97.7437439","","TURNED_ON","1","1","Both"
"22","TRAFFIC","W 24TH ST / NUECES ST","W 24TH ST","NUECES ST","SLAVE","21","5156836","9","","2017377","AUSTIN FULL PURPOSE","","","2017380","CENTRAL","2400 Nueces Street Austin, Texas 78705","2400 Nueces Street","","Austin","Texas","78705","United States","30.2878284","-97.7431412","","TURNED_ON","0","0","Both"
"23","TRAFFIC","GUADALUPE ST / W MARTIN LUTHER KING JR BLVD","GUADALUPE ST","W MARTIN LUTHER KING JR BLVD","MASTER","22","5157068","9","","2017777","AUSTIN FULL PURPOSE","","","2017776","CENTRAL","1901 Guadalupe Street Austin, Texas 78705","1901 Guadalupe Street","","Austin","Texas","78705","United States","30.2817326","-97.7419281","","TURNED_ON","1","1","Both"
"24","TRAFFIC","LAVACA ST / W MARTIN LUTHER KING JR BLVD","LAVACA ST","W MARTIN LUTHER KING JR BLVD","MASTER","23","5157273","9","","2017810","AUSTIN FULL PURPOSE","","","2017875","CENTRAL","247-299 West Martin Luther King Junior Boulevard Austin, Texas 78701","247-299 West Martin Luther King Junior Boulevard","","Austin","Texas","78701","United States","30.2813282","-97.740509","","TURNED_ON","1","1","Both"
"25","TRAFFIC","E MARTIN LUTHER KING JR BLVD / CONGRESS AVE","E MARTIN LUTHER KING JR BLVD","CONGRESS AVE","MASTER","24","5157629","1","","2017917","AUSTIN FULL PURPOSE","","","2017874","CENTRAL","200 East Martin Luther King Junior Boulevard Austin, Texas 78701","200 East Martin Luther King Junior Boulevard","","Austin","Texas","78701","United States","30.2806873","-97.7381058","","TURNED_ON","1","1","Both"
"26","TRAFFIC","E MARTIN LUTHER KING JR BLVD / SAN JACINTO BLVD","E MARTIN LUTHER KING JR BLVD","SAN JACINTO BLVD","MASTER","25","5158015","1","","2017890","AUSTIN FULL PURPOSE","","","2017891","CENTRAL","1900 San Jacinto Boulevard Austin, Texas 78712","1900 San Jacinto Boulevard","","Austin","Texas","78712","United States","30.2799759","-97.7357101","","TURNED_ON","1","1","Both"
"27","TRAFFIC","E MARTIN LUTHER KING JR BLVD / TRINITY ST","E MARTIN LUTHER KING JR BLVD","TRINITY ST","MASTER","26","5158219","1","","2017911","AUSTIN FULL PURPOSE","","","2017912","CENTRAL","1901-1973 Trinity Street Austin, Texas 78712","1901-1973 Trinity Street","","Austin","Texas","78712","United States","30.2796383","-97.7345123","","TURNED_ON","1","1","Both"
"28","TRAFFIC","E MARTIN LUTHER KING JR BLVD / RED RIVER ST","E MARTIN LUTHER KING JR BLVD","RED RIVER ST","MASTER","27","5158551","1","","2017958","AUSTIN FULL PURPOSE","","","2017959","CENTRAL","557-599 East Martin Luther King Junior Boulevard Austin, Texas 78712","557-599 East Martin Luther King Junior Boulevard","","Austin","Texas","78712","United States","30.2789745","-97.732193","","TURNED_ON","1","1","Both"
"29","TRAFFIC","DENSON DR / GUADALUPE ST","DENSON DR","GUADALUPE ST","MASTER","28","5159753","4","","2012063","AUSTIN FULL PURPOSE","","","2012064","NORTH","6200 Guadalupe Street Austin, Texas 78752","6200 Guadalupe Street","","Austin","Texas","78752","United States","30.3288956","-97.7204285","","TURNED_ON","1","1","Both"
"30","TRAFFIC","W 24TH ST / SAN GABRIEL ST","W 24TH ST","SAN GABRIEL ST","MASTER","29","5156111","9","","2017357","AUSTIN FULL PURPOSE","","","2017358","CENTRAL","1000 West 24th Street Austin, Texas 78705","1000 West 24th Street","","Austin","Texas","78705","United States","30.2881622","-97.7478333","","TURNED_ON","1","1","Both"
"31","TRAFFIC","W 24TH ST / RIO GRANDE ST","W 24TH ST","RIO GRANDE ST","MASTER","30","5156607","9","","2017369","AUSTIN FULL PURPOSE","","","2017370","CENTRAL","700-704 West 24th Street Austin, Texas 78705","700-704 West 24th Street","","Austin","Texas","78705","United States","30.2879353","-97.7446823","","TURNED_ON","1","1","Both"
"32","TRAFFIC","W 24TH ST / NUECES ST","W 24TH ST","NUECES ST","MASTER","31","5156755","9","","2017467","AUSTIN FULL PURPOSE","","","2017380","CENTRAL","601-605 West 24th Street Austin, Texas 78705","601-605 West 24th Street","","Austin","Texas","78705","United States","30.2878265","-97.74366","","TURNED_ON","1","1","Both"
"33","TRAFFIC","W 24TH ST / SAN ANTONIO ST","W 24TH ST","SAN ANTONIO ST","MASTER","32","5156912","9","","2017470","AUSTIN FULL PURPOSE","","","2017383","CENTRAL","506-598 West 24th Street Austin, Texas 78705","506-598 West 24th Street","","Austin","Texas","78705","United States","30.2877693","-97.7426453","","TURNED_ON","1","1","Both"
"34","TRAFFIC","GUADALUPE ST / W 30TH ST","GUADALUPE ST","W 30TH ST","SLAVE","33","5157001","9","","2016847","AUSTIN FULL PURPOSE","","","2016846","CENTRAL","502 West 30th Street Austin, Texas 78705","502 West 30th Street","","Austin","Texas","78705","United States","30.2966957","-97.7419662","","TURNED_ON","0","0","Both"
"35","TRAFFIC","E MARTIN LUTHER KING JR BLVD / N IH 35 SVRD SB","E MARTIN LUTHER KING JR BLVD","N IH 35 SVRD SB","MASTER","34","5158756","1","","2017990","AUSTIN FULL PURPOSE","","","2017991","CENTRAL","East Martin Luther King Junior Boulevard Austin, Texas 78701","East Martin Luther King Junior Boulevard","","Austin","Texas","78701","United States","30.2785587","-97.730484","","TURNED_ON","1","1","Both"
"36","TRAFFIC","E MARTIN LUTHER KING JR BLVD / N IH 35 SVRD NB","E MARTIN LUTHER KING JR BLVD","N IH 35 SVRD NB","SLAVE","35","5158954","1","","2017995","AUSTIN FULL PURPOSE","","","2017994","CENTRAL","1617 North Interstate 35 Frontage Road Austin, Texas 78702","1617 North Interstate 35 Frontage Road","","Austin","Texas","78702","United States","30.2785091","-97.7290802","","TURNED_ON","1","1","Both"
"37","TRAFFIC","GUADALUPE ST / W 21ST ST","GUADALUPE ST","W 21ST ST","MASTER","36","5157063","9","","2017637","AUSTIN FULL PURPOSE","","","2017636","CENTRAL","2025-2113 Guadalupe Street Austin, Texas 78705","2025-2113 Guadalupe Street","","Austin","Texas","78705","United States","30.2837963","-97.7419052","","TURNED_ON","1","1","Both"
"38","TRAFFIC","GUADALUPE ST / W 22ND ST","GUADALUPE ST","W 22ND ST","MASTER","37","5157071","9","","2017558","AUSTIN FULL PURPOSE","","","2017636","CENTRAL","400-454 West 22nd Street Austin, Texas 78705","400-454 West 22nd Street","","Austin","Texas","78705","United States","30.2849979","-97.7418137","","TURNED_ON","1","1","Both"
"39","TRAFFIC","GUADALUPE ST / WEST MALL UT","GUADALUPE ST","WEST MALL UT","MASTER","38","5157078","9","","2019909","AUSTIN FULL PURPOSE","UT CROSSWALK","","2019907","CENTRAL","2244-2266 Guadalupe Street Austin, Texas 78705","2244-2266 Guadalupe Street","","Austin","Texas","78705","United States","30.2858925","-97.7417374","","TURNED_ON","1","1","Both"
"40","TRAFFIC","GUADALUPE ST / W 24TH ST","GUADALUPE ST","W 24TH ST","MASTER","39","5157100","9","","2017389","AUSTIN FULL PURPOSE","","","2017388","CENTRAL","2401-2409 Guadalupe Street Austin, Texas 78705","2401-2409 Guadalupe Street","","Austin","Texas","78705","United States","30.2877197","-97.7415466","","TURNED_ON","1","1","Both"
"41","TRAFFIC","W DEAN KEETON ST / GUADALUPE ST","W DEAN KEETON ST","GUADALUPE ST","SLAVE","40","5157120","9","","2017247","AUSTIN FULL PURPOSE","","","2017249","CENTRAL","359-399 West Dean Keeton Street Austin, Texas 78712","359-399 West Dean Keeton Street","","Austin","Texas","78712","United States","30.289814","-97.7413559","","TURNED_ON","0","0","Both"
"42","TRAFFIC","GUADALUPE ST / W 26TH ST","GUADALUPE ST","W 26TH ST","MASTER","41","5157124","9","","2019867","AUSTIN FULL PURPOSE","","","2017247","CENTRAL","2601 Guadalupe Street Austin, Texas 78705","2601 Guadalupe Street","","Austin","Texas","78705","United States","30.2904701","-97.7412796","","TURNED_ON","1","1","Both"
"43","TRAFFIC","GUADALUPE ST / W 27TH ST","GUADALUPE ST","W 27TH ST","MASTER","42","5157142","9","","2017111","AUSTIN FULL PURPOSE","","","2017110","CENTRAL","346-398 West 27th Street Austin, Texas 78705","346-398 West 27th Street","","Austin","Texas","78705","United States","30.2919846","-97.7411499","","TURNED_ON","1","1","Both"
"44","TRAFFIC","GUADALUPE ST / W 29TH ST","GUADALUPE ST","W 29TH ST","MASTER","43","5156858","9","","2016925","AUSTIN FULL PURPOSE","","","2016924","CENTRAL","604 West 29th Street Austin, Texas 78705","604 West 29th Street","","Austin","Texas","78705","United States","30.2954292","-97.7428131","","TURNED_ON","1","1","Both"
"45","TRAFFIC","RIO GRANDE ST / W 29TH ST","RIO GRANDE ST","W 29TH ST","MASTER","44","5156684","9","","2016897","AUSTIN FULL PURPOSE","","","2016896","CENTRAL","2828-2898 Rio Grande Street Austin, Texas 78705","2828-2898 Rio Grande Street","","Austin","Texas","78705","United States","30.2959213","-97.7439194","","TURNED_ON","1","1","Both"
"46","TRAFFIC","GUADALUPE ST / W 30TH ST","GUADALUPE ST","W 30TH ST","MASTER","45","5156966","9","","2016888","AUSTIN FULL PURPOSE","","","2016859","CENTRAL","2934 Guadalupe Street Austin, Texas 78705","2934 Guadalupe Street","","Austin","Texas","78705","United States","30.2965031","-97.7421036","","TURNED_ON","1","1","Both"
"47","TRAFFIC","GUADALUPE ST / W 34TH ST","GUADALUPE ST","W 34TH ST","MASTER","46","5157324","9","","2016632","AUSTIN FULL PURPOSE","","","2016631","CENTRAL","3403 Guadalupe Street Austin, Texas 78705","3403 Guadalupe Street","","Austin","Texas","78705","United States","30.3003407","-97.7396469","","TURNED_ON","1","1","Both"
"48","TRAFFIC","W 38TH ST / GUADALUPE ST","W 38TH ST","GUADALUPE ST","MASTER","47","5157521","9","","2016461","AUSTIN FULL PURPOSE","","","2016462","CENTRAL","548-598 West 38th Street Austin, Texas 78705","548-598 West 38th Street","","Austin","Texas","78705","United States","30.302742","-97.7381439","","TURNED_ON","1","1","Both"
"49","TRAFFIC","GUADALUPE ST / W 41ST ST","GUADALUPE ST","W 41ST ST","MASTER","48","5157886","9","","2016257","AUSTIN FULL PURPOSE","","","2016232","CENTRAL","500-598 West 41st Street Austin, Texas 78751","500-598 West 41st Street","","Austin","Texas","78751","United States","30.3063908","-97.7357941","","TURNED_ON","1","1","Both"
"50","TRAFFIC","GUADALUPE ST / W 45TH ST","GUADALUPE ST","W 45TH ST","MASTER","49","5158333","9","","2015915","AUSTIN FULL PURPOSE","","","2015882","CENTRAL","4501 Guadalupe Street Austin, Texas 78751","4501 Guadalupe Street","","Austin","Texas","78751","United States","30.3108425","-97.7329788","","TURNED_ON","1","1","Both"
"51","TRAFFIC","E MARTIN LUTHER KING JR BLVD / CHICON ST","E MARTIN LUTHER KING JR BLVD","CHICON ST","MASTER","50","5159809","1","","2017883","AUSTIN FULL PURPOSE","","","2017882","CENTRAL","1900 Chicon Street Austin, Texas 78722","1900 Chicon Street","","Austin","Texas","78722","United States","30.2798061","-97.7212372","","TURNED_ON","1","1","Both"
"52","TRAFFIC","E MARTIN LUTHER KING JR BLVD / CHESTNUT AVE","E MARTIN LUTHER KING JR BLVD","CHESTNUT AVE","MASTER","51","5160241","1","","2017834","AUSTIN FULL PURPOSE","","","2017833","CENTRAL","2301 East Martin Luther King Junior Boulevard Austin, Texas 78702","2301 East Martin Luther King Junior Boulevard","","Austin","Texas","78702","United States","30.2804375","-97.7172699","","TURNED_ON","1","1","Both"
"53","TRAFFIC","W DEAN KEETON ST / WICHITA ST","W DEAN KEETON ST","WICHITA ST","MASTER","52","5157607","9","","2017256","AUSTIN FULL PURPOSE","","","2017257","CENTRAL","100 West Dean Keeton Street Austin, Texas 78712","100 West Dean Keeton Street","","Austin","Texas","78712","United States","30.2895603","-97.7379913","","TURNED_ON","1","1","Both"
"54","TRAFFIC","E DEAN KEETON ST / SAN JACINTO BLVD","E DEAN KEETON ST","SAN JACINTO BLVD","MASTER","53","5158159","9","","2017266","AUSTIN FULL PURPOSE","","","2017278","CENTRAL","2801 San Jacinto Boulevard Austin, Texas 78705","2801 San Jacinto Boulevard","","Austin","Texas","78705","United States","30.2893162","-97.7346115","","TURNED_ON","1","1","Both"
"55","TRAFFIC","E DEAN KEETON ST / SPEEDWAY","E DEAN KEETON ST","SPEEDWAY","MASTER","54","5157794","9","","2017406","AUSTIN FULL PURPOSE","","","2017261","CENTRAL","101-199 East Dean Keeton Street Austin, Texas 78712","101-199 East Dean Keeton Street","","Austin","Texas","78712","United States","30.2894573","-97.7368088","","TURNED_ON","1","1","Both"
"56","TRAFFIC","DUVAL ST / SAN JACINTO BLVD","DUVAL ST","SAN JACINTO BLVD","MASTER","55","5158127","9","","2017163","AUSTIN FULL PURPOSE","","","2019921","CENTRAL","2890-2898 San Jacinto Boulevard Austin, Texas 78705","2890-2898 San Jacinto Boulevard","","Austin","Texas","78705","United States","30.2909546","-97.7347336","","TURNED_ON","1","1","Both"
"57","TRAFFIC","E 32ND ST / DUVAL ST","E 32ND ST","DUVAL ST","MASTER","56","5158470","9","","2016975","AUSTIN FULL PURPOSE","","","2016976","CENTRAL","408-498 East 32nd Street Austin, Texas 78705","408-498 East 32nd Street","","Austin","Texas","78705","United States","30.2945347","-97.7324677","","TURNED_ON","1","1","Both"
"58","TRAFFIC","W 38TH ST / SPEEDWAY","W 38TH ST","SPEEDWAY","MASTER","57","5158290","9","","2016610","AUSTIN FULL PURPOSE","","","2016611","CENTRAL","100-104 East 38th Street Austin, Texas 78705","100-104 East 38th Street","","Austin","Texas","78705","United States","30.3005295","-97.733551","","TURNED_ON","1","1","Both"
"59","TRAFFIC","E 38TH ST / DUVAL ST","E 38TH ST","DUVAL ST","MASTER","58","5158780","9","","2016716","AUSTIN FULL PURPOSE","","","2016717","CENTRAL","3801 Duval Street Austin, Texas 78751","3801 Duval Street","","Austin","Texas","78751","United States","30.298708","-97.7297745","","TURNED_ON","1","1","Both"
"60","TRAFFIC","E 45TH ST / DUVAL ST","E 45TH ST","DUVAL ST","MASTER","59","5159359","9","","2016164","AUSTIN FULL PURPOSE","","","2016185","CENTRAL","4418-4498 Duval Street Austin, Texas 78751","4418-4498 Duval Street","","Austin","Texas","78751","United States","30.3069954","-97.7245865","","TURNED_ON","1","1","Both"
"61","TRAFFIC","W 45TH ST / SPEEDWAY","W 45TH ST","SPEEDWAY","MASTER","60","5158939","9","","2016138","AUSTIN FULL PURPOSE","","","2016057","CENTRAL","4499 Speedway Austin, Texas 78751","4499 Speedway","","Austin","Texas","78751","United States","30.3086319","-97.7283936","","TURNED_ON","1","1","Both"
"62","TRAFFIC","W DEAN KEETON ST / UNIVERSITY AVE","W DEAN KEETON ST","UNIVERSITY AVE","MASTER","61","5157439","9","","2017252","AUSTIN FULL PURPOSE","","","2017253","CENTRAL","100 West Dean Keeton Street Austin, Texas 78712","100 West Dean Keeton Street","","Austin","Texas","78712","United States","30.2896271","-97.7390747","","TURNED_ON","1","1","Both"
"63","TRAFFIC","RED RIVER ST / E 41ST ST","RED RIVER ST","E 41ST ST","MASTER","62","5159617","9","","2016762","AUSTIN FULL PURPOSE","","","2016652","CENTRAL","905 East 41st Street Austin, Texas 78751","905 East 41st Street","","Austin","Texas","78751","United States","30.2996826","-97.7223892","","TURNED_ON","1","1","Both"
"64","TRAFFIC","E 38TH HALF ST / N IH 35 SVRD SB","E 38TH HALF ST","N IH 35 SVRD SB","MASTER","63","5159923","9","","2016920","AUSTIN FULL PURPOSE","","","2016921","CENTRAL","3820 North Interstate 35 Frontage Road Austin, Texas 78751","3820 North Interstate 35 Frontage Road","","Austin","Texas","78751","United States","30.294981","-97.7197723","","TURNED_ON","1","1","Both"
"65","TRAFFIC","E DEAN KEETON ST / MEDICAL ARTS ST","E DEAN KEETON ST","MEDICAL ARTS ST","MASTER","64","5158913","1","","2017262","AUSTIN FULL PURPOSE","","","2017316","CENTRAL","2600-2898 Robert Dedman Drive Austin, Texas 78705","2600-2898 Robert Dedman Drive","","Austin","Texas","78705","United States","30.2883301","-97.7291336","","TURNED_ON","1","1","Both"
"66","TRAFFIC","W DEAN KEETON ST / WHITIS AVE","W DEAN KEETON ST","WHITIS AVE","MASTER","65","5157276","9","","2017248","AUSTIN FULL PURPOSE","","","2017249","CENTRAL","2601-2605 Whitis Avenue Austin, Texas 78705","2601-2605 Whitis Avenue","","Austin","Texas","78705","United States","30.2897549","-97.7402496","","TURNED_ON","1","1","Both"
"67","TRAFFIC","RED RIVER ST / E 32ND ST","RED RIVER ST","E 32ND ST","MASTER","66","5159140","9","","2017255","AUSTIN FULL PURPOSE","","","2017191","CENTRAL","3200 Red River Street Austin, Texas 78705","3200 Red River Street","","Austin","Texas","78705","United States","30.2910519","-97.72715","","TURNED_ON","1","1","Both"
"68","TRAFFIC","RED RIVER ST / E 38TH HALF ST","RED RIVER ST","E 38TH HALF ST","MASTER","67","5159542","9","","2016857","AUSTIN FULL PURPOSE","","","2016824","CENTRAL","3809 Red River Street Austin, Texas 78751","3809 Red River Street","","Austin","Texas","78751","United States","30.2965431","-97.7231445","","TURNED_ON","1","1","Both"
"69","TRAFFIC","E 45TH ST / RED RIVER ST","E 45TH ST","RED RIVER ST","MASTER","68","5159912","9","","2016296","AUSTIN FULL PURPOSE","","","2016297","CENTRAL","4500-4502 Red River Street Austin, Texas 78751","4500-4502 Red River Street","","Austin","Texas","78751","United States","30.3048534","-97.7196121","","TURNED_ON","1","1","Both"
"70","TRAFFIC","E DEAN KEETON ST / RED RIVER ST","E DEAN KEETON ST","RED RIVER ST","MASTER","69","5159198","1","","2046317","AUSTIN FULL PURPOSE","","","2017415","CENTRAL","2601-2899 Red River Street Austin, Texas 78705","2601-2899 Red River Street","","Austin","Texas","78705","United States","30.2871666","-97.7267456","","TURNED_ON","1","1","Both"
"71","TRAFFIC","RED RIVER ST / CLYDE LITTLEFIELD DR","RED RIVER ST","CLYDE LITTLEFIELD DR","MASTER","70","5159062","1","","2036519","AUSTIN FULL PURPOSE","","","2017866","CENTRAL","2200-2260 Red River Street Austin, Texas 78705","2200-2260 Red River Street","","Austin","Texas","78705","United States","30.2832279","-97.7279663","","TURNED_ON","1","1","Both"
"72","TRAFFIC","E 38TH HALF ST / N IH 35 SVRD NB","E 38TH HALF ST","N IH 35 SVRD NB","SLAVE","71","5159970","9","","2017051","AUSTIN FULL PURPOSE","","","2016967","CENTRAL","East 38th 1/2 Street Austin, Texas ","East 38th 1/2 Street","","Austin","Texas","","United States","30.2947578","-97.7193832","","TURNED_ON","1","1","Both"
"73","TRAFFIC","STECK AVE / ROCKWOOD LN","STECK AVE","ROCKWOOD LN","MASTER","72","5157759","7","","2010696","AUSTIN FULL PURPOSE","","","2010697","NORTH","8201 Rockwood Lane Austin, Texas 78757","8201 Rockwood Lane","","Austin","Texas","78757","United States","30.3646717","-97.7350159","","TURNED_ON","0","0","Both"
